Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Anaerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Ground Contact Time,Training Stress Score®
Running,2026-05-29 07:22:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.1k,5.06,337,29:05,135,154,1.5,0.1,170,182,5:44,3:45,30,30,1.02,6.9,236,29
Running,2026-05-30 06:19:00,false,[SYNTHETIC DEV DATA] Garmin Run - 20.7k,20.72,1378,1:52:53,142,161,5.0,0.1,174,186,5:26,3:45,166,166,1.06,7.0,229,128
Running,2026-05-31 06:42:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.7k,6.66,443,38:32,134,149,1.7,0.1,170,182,5:47,3:45,41,41,1.02,7.4,243,38
Running,2026-06-02 07:27:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.8k,8.75,582,35:14,166,186,2.0,2.8,181,193,4:01,3:45,94,94,1.37,7.4,223,73
Running,2026-06-03 07:45:00,false,[SYNTHETIC DEV DATA] Garmin Run - 11.9k,11.89,791,1:04:40,140,160,3.0,0.1,173,185,5:26,3:45,106,106,1.06,7.3,239,73
Running,2026-06-04 07:19:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.9k,9.91,659,43:58,159,180,2.3,1.2,178,190,4:26,3:45,108,108,1.27,7.2,226,75
Running,2026-06-06 06:09:00,false,[SYNTHETIC DEV DATA] Garmin Run - 21.4k,21.36,1421,1:58:43,146,162,5.0,0.1,174,186,5:33,3:45,189,189,1.03,7.4,230,129
Running,2026-06-07 06:45:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.0k,8.97,596,51:34,134,154,2.3,0.1,170,182,5:45,3:45,85,85,1.02,7.1,237,52
Running,2026-06-08 07:09:00,false,[SYNTHETIC DEV DATA] Garmin Run - 5.6k,5.61,373,32:25,131,147,1.5,0.1,168,180,5:46,3:45,31,31,1.03,7.5,247,32
Running,2026-06-09 07:20:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.4k,9.38,624,37:47,168,186,2.1,2.8,181,193,4:01,3:45,93,93,1.37,7.4,223,78
Running,2026-06-10 07:36:00,false,[SYNTHETIC DEV DATA] Garmin Run - 9.4k,9.45,628,52:37,137,156,2.4,0.1,173,185,5:34,3:45,44,44,1.04,6.9,231,57
Running,2026-06-11 07:34:00,false,[SYNTHETIC DEV DATA] Garmin Run - 10.7k,10.69,711,46:43,161,175,2.5,1.2,178,190,4:22,3:45,88,88,1.29,7.5,232,82
Running,2026-06-12 07:22:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.3k,6.34,422,36:00,135,150,1.6,0.1,170,182,5:40,3:45,64,64,1.04,7.0,238,37
Running,2026-06-13 06:16:00,false,[SYNTHETIC DEV DATA] Garmin Run - 21.8k,21.78,1448,2:00:22,148,169,5.0,0.1,174,186,5:31,3:45,175,175,1.04,7.3,230,132
Running,2026-06-14 06:28:00,false,[SYNTHETIC DEV DATA] Garmin Run - 6.6k,6.60,439,37:42,134,152,1.7,0.1,170,182,5:43,3:45,66,66,1.03,7.4,240,38
Running,2026-06-16 07:24:00,false,[SYNTHETIC DEV DATA] Garmin Run - 8.1k,8.07,537,32:18,171,185,1.8,2.8,184,196,4:00,3:45,47,47,1.36,7.3,216,68
