Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Average Heart Rate,Max Heart Rate,Average Cadence,Average Watts,Calories,Relative Effort,Perceived Exertion
1000000000,"May 29, 2026, 07:22:00 AM",[SYNTHETIC DEV DATA] Morning 5.1K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1745,1710,5062.5,3.63,2.9,30.2,30.2,135.0,154.9,85.0,230,337.0,30.0,5
1000000001,"May 30, 2026, 06:21:00 AM",[SYNTHETIC DEV DATA] Morning 20.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",6773,6637,20736.5,3.83,3.06,166.7,166.7,142.7,161.9,87.0,230,1378.0,128.0,5
1000000002,"May 31, 2026, 06:42:00 AM",[SYNTHETIC DEV DATA] Morning 6.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2312,2266,6661.3,3.6,2.88,41.5,41.5,134.0,149.3,85.0,230,443.0,39.0,5
1000000003,"Jun 02, 2026, 07:29:00 AM",[SYNTHETIC DEV DATA] Morning 8.8K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2114,2072,8730.1,5.16,4.13,94.4,94.4,166.6,186.5,91.0,230,582.0,73.0,5
1000000004,"Jun 03, 2026, 07:45:00 AM",[SYNTHETIC DEV DATA] Morning 11.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3880,3802,11892.5,3.83,3.06,106.4,106.4,140.4,160.1,86.5,230,791.0,74.0,5
1000000005,"Jun 04, 2026, 07:21:00 AM",[SYNTHETIC DEV DATA] Morning 9.9K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2638,2585,9869.7,4.68,3.74,108.4,108.4,159.5,180.2,89.0,230,659.0,75.0,5
1000000006,"Jun 06, 2026, 06:09:00 AM",[SYNTHETIC DEV DATA] Morning 21.4K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",7123,6981,21361.4,3.75,3.0,189.5,189.5,146.8,162.1,87.0,230,1421.0,130.0,5
1000000007,"Jun 07, 2026, 06:47:00 AM",[SYNTHETIC DEV DATA] Morning 9.0K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3094,3032,8942.6,3.61,2.89,85.2,85.2,134.0,154.1,85.0,230,596.0,53.0,5
1000000008,"Jun 08, 2026, 07:09:00 AM",[SYNTHETIC DEV DATA] Morning 5.6K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",1945,1906,5610.1,3.6,2.88,31.9,31.9,131.4,147.9,84.0,230,373.0,33.0,5
1000000009,"Jun 09, 2026, 07:22:00 AM",[SYNTHETIC DEV DATA] Morning 9.4K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2267,2221,9389.9,5.18,4.14,93.5,93.5,168.8,186.2,90.7,230,624.0,79.0,5
1000000010,"Jun 10, 2026, 07:36:00 AM",[SYNTHETIC DEV DATA] Morning 9.4K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",3157,3093,9448.0,3.74,2.99,44.7,44.7,137.1,156.1,86.5,230,628.0,57.0,5
1000000011,"Jun 11, 2026, 07:36:00 AM",[SYNTHETIC DEV DATA] Morning 10.7K Community Session,Run,"Controlled aerobic effort, felt smooth throughout.",2803,2747,10654.3,4.75,3.8,88.0,88.0,161.3,175.4,89.0,230,711.0,83.0,5
